m_fr_sum,fr_sum,log_fr_sum,serial_num,vp_exp_dummy,num_comp_exp,product_num,log_num_news,num_news,inv_num,cs_dummy,biz_dummy,master_dummy,age
46.77,46770000,8,1,0,1,6,1.4313637642,27,0,0,0,0,25
55.45,55450000,8,2,1,8,0,1.1139433523,13,3,0,0,0,25
0,0,0,1,0,3,0,0,0,1,0,0,0,25
0.8,800000,6,4,0,5,1,0.84509804,7,0,0,0,0,25
0.5,500000,6,1,1,3,0,0,1,0,0,0,0,46
0,0,0,1,0,3,0,0,0,0,0,0,0,25
130.552663,130552663,8,1,1,3,3,0.84509804,7,2,0,1,0,25
130.552663,130552663,8,1,0,2,3,0.84509804,7,0,0,1,0,25
5.5,5500000,7,2,1,13,1,0.903089987,8,1,0,1,0,25
0,0,0,1,1,8,0,0,0,0,0,0,0,25
0,0,0,1,0,1,0,0,0,0,0,1,0,25
0.58444,584440,6,2,0,4,2,0.4771212547,3,0,0,0,0,25
0,0,0,1,0,1,1,0,1,0,0,0,0,25
0,0,0,1,0,7,0,0,0,0,0,1,0,25
62.1,62100000,8,2,1,4,2,1.6127838567,41,1,0,0,0,25
69.713881,69713881,8,2,1,3,4,1.7075701761,51,0,0,0,0,25
52,52000000,8,1,1,2,1,1.6334684556,43,0,0,0,0,25
17.5,17500000,7,1,0,3,1,0.903089987,8,3,1,1,0,25
17.5,17500000,7,1,0,2,1,0.903089987,8,0,0,0,0,25
28.701975,28701975,7,2,1,5,0,1.4313637642,27,0,0,0,0,35
28.701975,28701975,7,2,1,3,0,1.4313637642,27,0,0,0,0,25
5,5000000,7,1,0,1,1,1.1461280357,14,0,0,0,0,25
5,5000000,7,1,0,2,1,1.1461280357,14,7,0,1,0,25
206.121421,206121421,8,1,1,8,5,2.4668676204,293,0,1,0,1,25
21.5,21500000,7,1,0,2,2,1.3424226808,22,0,0,0,0,25
21.5,21500000,7,1,1,8,2,1.3424226808,22,0,0,1,0,25
53.46,53460000,8,3,1,7,3,1.8512583487,71,2,0,1,0,25
0,0,0,1,1,14,0,0,0,0,0,1,0,25
7.25,7250000,7,4,0,7,4,1.0413926852,11,7,0,0,0,25
0,0,0,2,0,4,1,1.2552725051,18,0,0,0,0,47
40.927053,40927053,8,1,0,4,2,0.6989700043,5,0,0,0,0,25
0,0,0,1,0,1,0,0,0,0,0,0,0,25
0,0,0,1,0,3,1,0.6020599913,4,0,1,0,0,25
28,28000000,7,1,0,1,4,0.4771212547,3,0,0,0,0,25
0,0,0,1,0,1,0,0,0,0,0,0,0,25
0.075,75000,5,1,0,1,0,0,0,0,0,0,0,25
6.5,6500000,7,1,0,1,2,0.3010299957,2,0,0,0,0,25
0,0,0,1,0,1,1,0.4771212547,3,0,0,0,0,25
